Spheres	Iterations	Distance	Frame Rate	Ray Count
125	2	10.000000	2.921077	13521058
125	4	10.000000	2.520728	25622332
125	6	10.000000	2.156207	46303188
125	8	10.000000	1.938144	46303188
125	10	10.000000	1.791286	46303188
125	12	10.000000	1.721546	46303188
125	14	10.000000	1.606041	46303188
125	16	10.000000	1.580045	46303188
