Spheres	Iterations	Distance	Frame Rate	Ray Count
125	6	10.000000	1.375514	125047088
125	6	13.000000	1.643204	91638024
125	6	16.000000	1.727617	71569600
125	6	19.000000	1.905305	57719852
125	6	22.000000	2.063605	45900864
125	6	25.000000	2.190854	36621372
125	6	28.000000	2.301635	32827206
125	6	31.000000	2.396740	27982704
